last_update;uuid;title;EPG genre;production year;providerId;providerId type;alternative titles
18/01/2021 13:01;b62bb613-58a6-4c19-a5bb-6785e40f8e66;MasterChef Australia;1;2009;datatv_se177592;datatv;[[ALT]]MasterChef Australia[[ALT]]MasterChef Australia[[ALT]]MasterChef Australia
08/01/2021 20:34;485c23a8-e02e-4db9-ad2b-be90ad364eea;Una notte al museo;4;2011;datatv_se203138;datatv;[[ALT]]Una notte al museo[[ALT]]Museum Secrets[[ALT]]Una notte al museo
13/01/2021 13:38;410319e0-0656-4b03-ba2c-b334a638f168;Sei in un Paese meraviglioso;4;2015;datatv_se208484;datatv;[[ALT]]Sei in un Paese meraviglioso[[ALT]]Sei in un Paese meraviglioso[[ALT]]Sei in un Paese meraviglioso
18/01/2021 18:51;b45bc0a6-7942-4b5f-a51e-6f1fa8640b18;ArtBox;4;2017;datatv_se216674;datatv;[[ALT]]ArtBox[[ALT]]ArtBox[[ALT]]ArtBox
13/01/2021 10:36;10e58dcd-f94c-4080-9284-46d08704dbd4;Affari di famiglia;4;2009;datatv_se155498;datatv;[[ALT]]Trato Feito[[ALT]]Pawn $tars[[ALT]]Pawn Stars[[ALT]]Affari di famiglia
08/01/2021 13:04;5432ee41-e89a-4f61-9a5a-74c45a24be6c;Too Young to Die;4;2016;datatv_se229123;datatv;[[ALT]]Too Young to Die[[ALT]]Too Young to Die[[ALT]]Too Young to Die
07/01/2021 13:09;7d850490-abd6-420a-b5aa-a1f756a685c1;X Factor - Il sogno;1;2019;datatv_se243300;datatv;[[ALT]]X Factor - Il sogno[[ALT]]X Factor - Il sogno[[ALT]]X Factor - Il sogno
19/01/2021 12:56;87228923-b95f-4318-8521-0392a663f1f5;Ghosted;1;2019;datatv_se247600;datatv;[[ALT]]MTV's Ghosted: Love Gone Missing[[ALT]]Ghosted[[ALT]]Ghosted - L'amore sparito
14/01/2021 07:47;5a37514f-8740-4d56-b8da-ca411d32b18f;PGA Tour;2;2019;datatv_se239695;datatv;[[ALT]]PGA Tour[[ALT]]PGA Tour[[ALT]]PGA Tour
18/01/2021 10:38;7c6060c1-ae73-4951-8096-e5352629f32a;Storie di pesca in acque interne;4;2021;datatv_se256726;datatv;[[ALT]]Storie di pesca in acque interne[[ALT]]Storie di pesca in acque interne[[ALT]]Storie di pesca in acque interne
